epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5145,2.61096,14.3542,1.94156,0.09878,0.11224,0.05333,0.03111,2.14111,7.35796,1.5292,0.08614,0.00014,0.00014
2,28.8175,1.73444,2.21591,1.31357,0.50001,0.45918,0.47481,0.24716,1.93993,1.77241,1.41653,0.0712897,0.000289717,0.000289717
3,40.1683,1.57874,1.46341,1.23861,0.5327,0.5102,0.46452,0.22301,1.76746,2.02268,1.34575,0.0564383,0.000438283,0.000438283
4,51.4782,1.5647,1.32249,1.19822,0.38145,0.35714,0.30602,0.13079,1.64315,2.62599,1.37699,0.0415848,0.000584827,0.000584827
5,62.7162,1.51913,1.21935,1.18974,0.67084,0.27041,0.40484,0.25337,1.64501,3.32443,1.39664,0.0267285,0.000728492,0.000728492
6,74.1301,1.45587,1.15647,1.19171,0.57909,0.54082,0.53327,0.30018,1.73056,1.77404,1.55508,0.0118684,0.000868438,0.000868438
7,85.4487,1.50544,1.08036,1.21367,0.41185,0.39796,0.3415,0.16056,1.94568,2.15343,1.67874,0.000965239,0.000965239,0.000965239
8,96.6193,1.42951,1.1113,1.18263,0.46057,0.34694,0.32596,0.17131,2.04547,2.52001,2.07564,0.000952889,0.000952889,0.000952889
9,107.882,1.38427,1.02761,1.13985,0.69607,0.58427,0.64828,0.31901,1.63894,1.6867,1.40895,0.000938772,0.000938772,0.000938772
10,119.122,1.42352,1.05561,1.14626,0.6054,0.59493,0.6222,0.3285,1.68014,3.25934,1.54381,0.000922942,0.000922942,0.000922942
11,130.41,1.37834,1.02137,1.17302,0.82022,0.74486,0.82419,0.46696,1.50359,1.36804,1.393,0.000905463,0.000905463,0.000905463
12,141.727,1.293,0.92902,1.14778,0.88692,0.72449,0.84984,0.44407,1.57126,1.21246,1.42786,0.000886404,0.000886404,0.000886404
13,152.969,1.29735,0.8794,1.13079,0.73263,0.72698,0.77037,0.44108,1.5681,1.42921,1.37476,0.000865839,0.000865839,0.000865839
14,164.217,1.29127,0.86017,1.11781,0.78441,0.78571,0.80251,0.46182,1.46172,1.10244,1.30282,0.000843851,0.000843851,0.000843851
15,175.407,1.28075,0.84836,1.1156,0.78138,0.87529,0.86922,0.50376,1.4085,1.0998,1.2818,0.000820525,0.000820525,0.000820525
16,186.654,1.28824,0.86059,1.13638,0.87685,0.7449,0.89218,0.51526,1.447,0.96156,1.35615,0.000795954,0.000795954,0.000795954
17,197.973,1.21092,0.78843,1.11422,0.87408,0.77915,0.87252,0.54419,1.39008,0.94338,1.25656,0.000770234,0.000770234,0.000770234
18,209.234,1.2044,0.78642,1.09488,0.90115,0.83726,0.90589,0.56561,1.34873,0.83812,1.24288,0.000743468,0.000743468,0.000743468
19,220.431,1.13281,0.72573,1.07236,0.92538,0.90816,0.92444,0.58348,1.30408,0.79385,1.19969,0.000715761,0.000715761,0.000715761
20,231.725,1.11691,0.70641,1.06222,0.85424,0.95918,0.93879,0.59172,1.29699,0.85733,1.23154,0.000687222,0.000687222,0.000687222
21,242.956,1.12021,0.69851,1.06359,0.87976,0.91837,0.92021,0.54121,1.3355,0.81339,1.28244,0.000657963,0.000657963,0.000657963
22,254.074,1.09281,0.7149,1.04572,0.92809,0.92186,0.95701,0.60245,1.31054,0.70231,1.21867,0.000628101,0.000628101,0.000628101
23,265.287,1.07447,0.67602,1.03811,0.92432,0.8724,0.92931,0.62336,1.21662,0.73252,1.17996,0.000597754,0.000597754,0.000597754
24,276.64,1.05784,0.67097,1.02971,0.90322,0.95234,0.94673,0.59936,1.26057,0.71236,1.20029,0.00056704,0.00056704,0.00056704
25,287.882,1.07395,0.63977,1.02222,0.91172,0.90816,0.94885,0.62271,1.20216,0.71009,1.1584,0.000536081,0.000536081,0.000536081
26,299.066,1.01507,0.61696,1.0022,0.90359,0.86071,0.92409,0.62088,1.21035,0.70988,1.18535,0.000505,0.000505,0.000505
27,310.258,1.00969,0.6177,0.99872,0.88726,0.93878,0.94095,0.6298,1.21848,0.68555,1.17319,0.000473919,0.000473919,0.000473919
28,321.515,1.00528,0.6127,1.00777,0.86778,0.9376,0.94755,0.60989,1.2686,0.67438,1.2246,0.00044296,0.00044296,0.00044296
29,332.707,0.97454,0.57401,0.97586,0.89911,0.94898,0.96134,0.62394,1.22102,0.63668,1.17959,0.000412246,0.000412246,0.000412246
30,343.905,0.96409,0.57662,0.99091,0.93596,0.93878,0.97128,0.66226,1.1899,0.6055,1.18293,0.000381899,0.000381899,0.000381899
31,355.125,0.94483,0.57304,0.99326,0.92816,0.93878,0.96634,0.66451,1.14912,0.62218,1.13666,0.000352037,0.000352037,0.000352037
32,366.39,0.89804,0.55832,0.96049,0.96808,0.92833,0.96912,0.65288,1.16322,0.65037,1.16726,0.000322778,0.000322778,0.000322778
