epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.832,1.30474,1.81157,1.34282,0.91388,0.77886,0.87943,0.64989,0.93968,0.71421,1.01019,0.00331915,0.00331915,0.00331915
2,351.633,0.94866,0.78373,1.07122,0.86257,0.76919,0.83354,0.63434,0.8879,0.79523,1.02127,0.00664598,0.00664598,0.00664598
3,526.171,0.96838,0.79571,1.0777,0.85091,0.7353,0.81437,0.59393,0.99592,1.04255,1.10634,0.00994684,0.00994684,0.00994684
4,699.979,0.98394,0.80336,1.09181,0.87189,0.79249,0.85438,0.64455,0.89716,0.81829,1.04629,0.00991232,0.00991232,0.00991232
5,873.144,0.90638,0.72034,1.06409,0.86067,0.82266,0.87723,0.6533,0.93555,0.71314,1.08635,0.00984449,0.00984449,0.00984449
6,1046.32,0.85613,0.66614,1.03853,0.89318,0.8415,0.90532,0.69931,0.88735,0.61,1.02888,0.00975773,0.00975773,0.00975773
7,1219.91,0.82025,0.62723,1.0259,0.88847,0.84119,0.90587,0.71192,0.79279,0.57838,1.00627,0.00965239,0.00965239,0.00965239
8,1393.4,0.78898,0.60209,1.01324,0.92146,0.82119,0.91207,0.71782,0.80224,0.58352,0.99411,0.00952889,0.00952889,0.00952889
9,1566.76,0.76378,0.57829,1.00335,0.90856,0.86393,0.92406,0.74475,0.7903,0.54602,1.00181,0.00938772,0.00938772,0.00938772
10,1739.99,0.74731,0.56335,0.9957,0.91968,0.85516,0.92022,0.73859,0.77511,0.56271,0.9841,0.00922942,0.00922942,0.00922942
11,1913.29,0.72603,0.54866,0.98844,0.91163,0.89595,0.9273,0.75423,0.75592,0.47641,0.99678,0.00905463,0.00905463,0.00905463
12,2086.69,0.70259,0.52698,0.97744,0.83809,0.90276,0.91614,0.74674,0.76012,0.52008,0.97467,0.00886404,0.00886404,0.00886404
13,2260.05,0.6875,0.513,0.97444,0.92166,0.84461,0.92038,0.75786,0.71947,0.51927,0.98402,0.00865839,0.00865839,0.00865839
14,2433.38,0.67468,0.50307,0.96625,0.92979,0.87046,0.92514,0.76822,0.67108,0.4667,0.96666,0.00843851,0.00843851,0.00843851
15,2606.9,0.66526,0.49155,0.96331,0.92701,0.89216,0.92995,0.75826,0.7003,0.44059,0.99515,0.00820525,0.00820525,0.00820525
16,2780.45,0.65789,0.48648,0.96033,0.92301,0.85328,0.9241,0.77495,0.69025,0.50666,0.96669,0.00795954,0.00795954,0.00795954
17,2953.8,0.64137,0.47429,0.95563,0.92875,0.87273,0.93169,0.78012,0.68792,0.45693,0.94504,0.00770234,0.00770234,0.00770234
18,3127.12,0.6285,0.46442,0.94733,0.93262,0.88892,0.93746,0.78581,0.6545,0.44092,0.92611,0.00743468,0.00743468,0.00743468
19,3300.79,0.62048,0.45424,0.944,0.91254,0.87031,0.93331,0.77782,0.68186,0.45747,0.96053,0.00715761,0.00715761,0.00715761
20,3474.17,0.61247,0.4484,0.94362,0.91211,0.87757,0.9318,0.77627,0.70415,0.49041,0.95845,0.00687222,0.00687222,0.00687222
21,3647.49,0.59868,0.43596,0.93933,0.91898,0.86294,0.93281,0.78639,0.66746,0.48237,0.95933,0.00657963,0.00657963,0.00657963
22,3820.53,0.59476,0.43112,0.93814,0.955,0.87872,0.93346,0.79119,0.6511,0.40026,0.96614,0.00628101,0.00628101,0.00628101
23,3993.62,0.58007,0.4211,0.93206,0.93189,0.89205,0.9392,0.79457,0.65962,0.41105,0.98061,0.00597754,0.00597754,0.00597754
24,4166.98,0.57057,0.41124,0.92598,0.93343,0.86722,0.93352,0.79224,0.6609,0.45557,0.93749,0.0056704,0.0056704,0.0056704
