epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,4340.44,0.56003,0.40399,0.92478,0.91651,0.90383,0.93873,0.79962,0.65829,0.42723,0.93909,0.00536081,0.00536081,0.00536081
26,4513.81,0.56014,0.40269,0.9252,0.91409,0.88887,0.9393,0.79044,0.6545,0.41792,0.93478,0.00505,0.00505,0.00505
27,4687.15,0.54688,0.39688,0.92001,0.91994,0.88852,0.93948,0.79642,0.65257,0.41501,0.96128,0.00473919,0.00473919,0.00473919
28,4860.46,0.53901,0.38904,0.91935,0.94234,0.88288,0.94066,0.80057,0.62962,0.41648,0.95914,0.0044296,0.0044296,0.0044296
29,5033.84,0.53034,0.37931,0.91578,0.92992,0.86091,0.93787,0.79668,0.64724,0.42554,0.96917,0.00412246,0.00412246,0.00412246
30,5207.26,0.51822,0.36902,0.90975,0.93297,0.86766,0.93537,0.79752,0.65987,0.46414,0.95444,0.00381899,0.00381899,0.00381899
31,5380.58,0.5155,0.36536,0.909,0.93343,0.90044,0.94086,0.80253,0.65454,0.40054,0.97509,0.00352037,0.00352037,0.00352037
32,5554.11,0.51149,0.36273,0.90983,0.92039,0.90205,0.93988,0.80065,0.6407,0.39676,0.95282,0.00322778,0.00322778,0.00322778
33,5727.63,0.49933,0.35489,0.90394,0.91714,0.8942,0.94062,0.79876,0.6541,0.39844,0.97008,0.00294239,0.00294239,0.00294239
34,5900.7,0.48642,0.34431,0.9003,0.92048,0.91043,0.93928,0.80385,0.62578,0.37675,0.96604,0.00266532,0.00266532,0.00266532
35,6073.72,0.48532,0.34143,0.90053,0.93687,0.88932,0.93936,0.80743,0.61765,0.38332,0.95846,0.00239766,0.00239766,0.00239766
36,6246.79,0.47453,0.33499,0.89689,0.94183,0.88144,0.94077,0.80794,0.61268,0.37861,0.94719,0.00214046,0.00214046,0.00214046
37,6419.81,0.46815,0.32856,0.89428,0.92555,0.90353,0.9375,0.81065,0.61685,0.37989,0.94334,0.00189475,0.00189475,0.00189475
38,6593.13,0.46151,0.32297,0.89164,0.94029,0.88406,0.93883,0.80432,0.61572,0.38297,0.94995,0.00166149,0.00166149,0.00166149
39,6766.45,0.45569,0.31935,0.89158,0.93627,0.88955,0.93853,0.80729,0.62398,0.37313,0.96005,0.00144161,0.00144161,0.00144161
40,6939.54,0.44679,0.31415,0.88627,0.93586,0.88755,0.93464,0.80125,0.64328,0.40721,0.97373,0.00123596,0.00123596,0.00123596
41,7115.87,0.40812,0.27826,0.86116,0.91477,0.8951,0.93363,0.80555,0.61271,0.40356,0.94934,0.00104537,0.00104537,0.00104537
42,7288.02,0.39588,0.26827,0.85782,0.89912,0.91092,0.93167,0.80535,0.60473,0.40818,0.95011,0.000870577,0.000870577,0.000870577
43,7460.25,0.38543,0.26134,0.85523,0.93369,0.88377,0.93016,0.80288,0.60491,0.39317,0.95205,0.000712282,0.000712282,0.000712282
44,7632.48,0.38043,0.25605,0.85221,0.91704,0.90207,0.92947,0.8032,0.608,0.40131,0.9503,0.000571106,0.000571106,0.000571106
45,7804.67,0.37263,0.25177,0.84766,0.91635,0.90298,0.93105,0.80635,0.59804,0.39308,0.94642,0.000447606,0.000447606,0.000447606
46,7976.74,0.37054,0.24955,0.84911,0.92114,0.90257,0.93149,0.80866,0.59701,0.39724,0.94722,0.00034227,0.00034227,0.00034227
47,8148.89,0.36448,0.24538,0.84847,0.91886,0.90217,0.93396,0.81087,0.59399,0.38874,0.94329,0.000255513,0.000255513,0.000255513
48,8321.02,0.36361,0.24232,0.84715,0.92639,0.89983,0.93325,0.80783,0.59559,0.38443,0.94553,0.000187678,0.000187678,0.000187678
49,8493.1,0.36081,0.24241,0.84689,0.92123,0.90074,0.93325,0.80809,0.59896,0.38911,0.94843,0.000139032,0.000139032,0.000139032
50,8664.96,0.35665,0.23878,0.84515,0.93602,0.88375,0.9333,0.80906,0.59955,0.38924,0.95187,0.000109768,0.000109768,0.000109768
