epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0669,1.34404,1.98816,1.5287,0.86229,0.50257,0.53451,0.40958,0.896,1.7955,1.18269,0.00046943,0.00046943,0.00046943
2,187.857,1.10908,1.09551,1.30337,0.79802,0.51805,0.50335,0.37787,0.9748,3.00998,1.30545,0.000927037,0.000927037,0.000927037
3,276.674,1.10396,1.02824,1.29299,0.83797,0.48843,0.51479,0.36556,0.98636,2.16523,1.35165,0.00136578,0.00136578,0.00136578
4,366.231,1.07985,0.96258,1.27232,0.90658,0.5262,0.57125,0.44388,0.88645,1.00552,1.14927,0.00134412,0.00134412,0.00134412
5,455.832,1.00569,0.87688,1.22452,0.90977,0.52236,0.575,0.45708,0.78867,0.75341,1.0556,0.00131582,0.00131582,0.00131582
6,545.18,0.98028,0.84375,1.21251,0.62748,0.69881,0.64735,0.49172,0.83182,0.72678,1.07229,0.00128753,0.00128753,0.00128753
7,634.002,0.94919,0.79623,1.18627,0.57474,0.54734,0.61003,0.48181,0.76541,0.71722,1.03139,0.00125923,0.00125923,0.00125923
8,722.49,0.92511,0.77597,1.17493,0.51276,0.64502,0.60898,0.48202,0.78169,0.68082,1.03786,0.00123094,0.00123094,0.00123094
9,812.158,0.91283,0.75852,1.17072,0.89779,0.6439,0.75325,0.5693,0.73335,0.60924,1.01645,0.00120265,0.00120265,0.00120265
10,901.332,0.89252,0.73171,1.15373,0.58767,0.56298,0.60096,0.4863,0.73967,0.63831,1.00267,0.00117435,0.00117435,0.00117435
11,991.277,0.86833,0.71509,1.14122,0.60714,0.5402,0.60104,0.48658,0.73336,0.62299,0.99925,0.00114606,0.00114606,0.00114606
12,1081.31,0.8693,0.69935,1.14197,0.76449,0.60197,0.68667,0.54592,0.73063,0.57901,0.99806,0.00111776,0.00111776,0.00111776
13,1170.81,0.85498,0.69525,1.1333,0.92666,0.6783,0.7447,0.56403,0.71535,0.57876,0.99541,0.00108947,0.00108947,0.00108947
14,1260.01,0.84783,0.68464,1.12687,0.87904,0.74521,0.82643,0.59112,0.72067,0.60724,0.99798,0.00106118,0.00106118,0.00106118
15,1349.44,0.83439,0.6706,1.11976,0.93774,0.72267,0.81805,0.60333,0.71242,0.58734,0.99331,0.00103288,0.00103288,0.00103288
16,1440.39,0.81624,0.65306,1.10693,0.92039,0.67969,0.75206,0.59265,0.70219,0.57901,0.97541,0.00100459,0.00100459,0.00100459
17,1527.85,0.81826,0.65004,1.10626,0.9227,0.73806,0.84461,0.61748,0.69164,0.56332,0.97436,0.000976293,0.000976293,0.000976293
18,1616.65,0.81819,0.64368,1.10701,0.51154,0.65933,0.62423,0.51577,0.7042,0.61009,0.98319,0.000947999,0.000947999,0.000947999
19,1706.52,0.79959,0.63321,1.09825,0.85672,0.72641,0.81937,0.60905,0.70052,0.57238,0.98722,0.000919704,0.000919704,0.000919704
20,1796.06,0.79125,0.61918,1.08986,0.79099,0.68074,0.74422,0.58262,0.7114,0.56422,0.99849,0.00089141,0.00089141,0.00089141
21,1886.05,0.78214,0.613,1.08617,0.59593,0.79065,0.68628,0.5387,0.69512,0.57424,0.97374,0.000863116,0.000863116,0.000863116
22,1974.56,0.76973,0.5978,1.07912,0.69199,0.70075,0.66801,0.5408,0.69193,0.552,0.98394,0.000834822,0.000834822,0.000834822
23,2063.59,0.76253,0.59417,1.07969,0.77212,0.76058,0.7905,0.55171,0.70304,0.54241,0.99121,0.000806528,0.000806528,0.000806528
24,2151.69,0.76186,0.59143,1.07642,0.70937,0.74882,0.75775,0.58329,0.70104,0.55047,0.98871,0.000778233,0.000778233,0.000778233
25,2239.98,0.75742,0.57931,1.0716,0.7403,0.70025,0.73473,0.58926,0.69166,0.55921,0.9783,0.000749939,0.000749939,0.000749939
26,2330.1,0.75461,0.58323,1.0708,0.69963,0.83703,0.74068,0.58546,0.68317,0.56085,0.98389,0.000721645,0.000721645,0.000721645
27,2417.77,0.74357,0.56841,1.06227,0.89723,0.6853,0.7817,0.61215,0.68767,0.55298,0.97724,0.000693351,0.000693351,0.000693351
