epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7671,1.32163,2.01452,1.51965,0.89423,0.49476,0.53385,0.40112,0.90513,1.34941,1.1488,0.000468651,0.000468651,0.000468651
2,166.669,1.07543,1.04904,1.27998,0.8141,0.50527,0.51097,0.36926,0.99584,4.01756,1.34698,0.000926273,0.000926273,0.000926273
3,244.485,1.06517,0.96448,1.26821,0.49062,0.50229,0.51948,0.38366,0.92559,2.67773,1.26564,0.00136503,0.00136503,0.00136503
